name,date_utc,success,cores,rocket,payloads,launchpad,core_flight,core_reused,landing_attempt,landing_success,landing_type,landpad,rocket_name,Class
Iridium NEXT Mission 4,2017-12-23T01:27:23.000Z,True,"[{'core': '5e9e28a3f3591801cf3b264b', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c6b6c3bb0006eeb219'],5e9e4502f509092b78566f87,2,True,True,True,Ocean,,Falcon 9,1
ZUMA,2018-01-08T01:00:00.000Z,True,"[{'core': '5e9e28a4f35918345e3b2652', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c6b6c3bb0006eeb21a'],5e9e4501f509094ba4566f84,1,False,True,True,RTLS,5e9e3032383ecb267a34e7c7,Falcon 9,1
SES-16 / GovSat-1,2018-01-31T21:25:00.000Z,True,"[{'core': '5e9e28a3f3591811f83b2648', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c6b6c3bb0006eeb21b'],5e9e4501f509094ba4566f84,2,True,True,True,Ocean,,Falcon 9,1
Paz / Starlink Demo,2018-02-22T14:17:00.000Z,True,"[{'core': '5e9e28a4f359182d843b264e', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,"['5eb0e4c6b6c3bb0006eeb21d', '5eb0e4c6b6c3bb0006eeb21e']",5e9e4502f509092b78566f87,2,True,False,,,,Falcon 9,0
Hispasat 30W-6,2018-03-06T05:33:00.000Z,True,"[{'core': '5e9e28a5f359186cb73b2654', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c7b6c3bb0006eeb21f'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,True,"[{'core': '5e9e28a4f3591843103b2650', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c7b6c3bb0006eeb220'],5e9e4502f509092b78566f87,2,True,False,,,,Falcon 9,0
CRS-14,2018-04-02T20:30:41.000Z,True,"[{'core': '5e9e28a4f3591884ee3b264d', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c7b6c3bb0006eeb221'],5e9e4501f509094ba4566f84,2,True,False,,,,Falcon 9,0
TESS,2018-04-18T22:51:00.000Z,True,"[{'core': '5e9e28a5f35918863d3b2655', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c7b6c3bb0006eeb222'],5e9e4501f509094ba4566f84,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Bangabandhu-1,2018-05-11T20:14:00.000Z,True,"[{'core': '5e9e28a5f359182b023b2656', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c7b6c3bb0006eeb223'],5e9e4502f509094188566f88,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,True,"[{'core': '5e9e28a4f35918345e3b2652', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,"['5eb0e4c7b6c3bb0006eeb224', '5eb0e4c8b6c3bb0006eeb225']",5e9e4502f509092b78566f87,2,True,False,,,,Falcon 9,0
SES-12,2018-06-04T04:45:00.000Z,True,"[{'core': '5e9e28a4f3591845123b264f', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c8b6c3bb0006eeb226'],5e9e4501f509094ba4566f84,2,True,False,,,,Falcon 9,0
CRS-15,2018-06-29T09:42:00.000Z,True,"[{'core': '5e9e28a5f35918863d3b2655', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4c8b6c3bb0006eeb227'],5e9e4501f509094ba4566f84,2,True,False,,,,Falcon 9,0
Telstar 19V,2018-07-22T05:50:00.000Z,True,"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c8b6c3bb0006eeb228'],5e9e4501f509094ba4566f84,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,True,"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c9b6c3bb0006eeb229'],5e9e4502f509092b78566f87,1,False,True,True,ASDS,5e9e3033383ecbb9e534e7cc,Falcon 9,1
Merah Putih,2018-08-07T05:18:00.000Z,True,"[{'core': '5e9e28a5f359182b023b2656', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c9b6c3bb0006eeb22a'],5e9e4501f509094ba4566f84,2,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Telstar 18V,2018-09-10T04:45:00.000Z,True,"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c9b6c3bb0006eeb22b'],5e9e4501f509094ba4566f84,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
SAOCOM 1A,2018-10-08T02:22:00.000Z,True,"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c9b6c3bb0006eeb22c'],5e9e4502f509092b78566f87,2,True,True,True,RTLS,5e9e3032383ecb554034e7c9,Falcon 9,1
Es’hail 2,2018-11-15T20:46:00.000Z,True,"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c9b6c3bb0006eeb22d'],5e9e4502f509094188566f88,2,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
SSO-A,2018-12-03T18:34:00.000Z,True,"[{'core': '5e9e28a5f359182b023b2656', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",5e9d0d95eda69973a809d1ec,['5eb0e4c9b6c3bb0006eeb22e'],5e9e4502f509092b78566f87,3,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,Falcon 9,1
CRS-16,2018-12-05T18:16:00.000Z,True,"[{'core': '5e9e28a6f359185c603b265a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cab6c3bb0006eeb22f'],5e9e4501f509094ba4566f84,1,False,True,False,RTLS,5e9e3032383ecb267a34e7c7,Falcon 9,0
GPS III SV01,2018-12-23T13:51:00.000Z,True,"[{'core': '5e9e28a6f35918513b3b265b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4cab6c3bb0006eeb230'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,True,"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cab6c3bb0006eeb231'],5e9e4502f509092b78566f87,2,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,Falcon 9,1
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,True,"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']",5e9e4501f509094ba4566f84,3,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,True,"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cbb6c3bb0006eeb235'],5e9e4502f509094188566f88,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
CRS-17,2019-05-04T06:48:00.000Z,True,"[{'core': '5e9e28a7f3591809313b2660', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cbb6c3bb0006eeb237'],5e9e4501f509094ba4566f84,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Starlink v0.9,2019-05-24T02:30:00.000Z,True,"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cbb6c3bb0006eeb238'],5e9e4501f509094ba4566f84,3,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
RADARSAT Constellation,2019-06-12T14:17:00.000Z,True,"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}]",5e9d0d95eda69973a809d1ec,['5eb0e4ccb6c3bb0006eeb239'],5e9e4502f509092b78566f87,2,True,True,True,RTLS,5e9e3032383ecb554034e7c9,Falcon 9,1
CRS-18,2019-07-25T22:01:00.000Z,True,"[{'core': '5e9e28a7f3591809313b2660', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",5e9d0d95eda69973a809d1ec,['5eb0e4ceb6c3bb0006eeb24a'],5e9e4501f509094ba4566f84,2,True,True,True,RTLS,5e9e3032383ecb267a34e7c7,Falcon 9,1
Amos-17,2019-08-06T22:52:00.000Z,True,"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 3, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24b'],5e9e4501f509094ba4566f84,3,True,False,,,,Falcon 9,0
Starlink-1,2019-11-11T14:56:00.000Z,True,"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24c'],5e9e4501f509094ba4566f84,4,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
CRS-19,2019-12-05T17:29:23.000Z,True,"[{'core': '5e9e28a7f359187afd3b2662', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24d'],5e9e4501f509094ba4566f84,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,True,"[{'core': '5e9e28a7f3591809313b2660', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24e'],5e9e4501f509094ba4566f84,3,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Starlink-2,2020-01-07T02:19:00.000Z,True,"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4cfb6c3bb0006eeb24f'],5e9e4501f509094ba4566f84,4,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,True,"[{'core': '5e9e28a5f359182b023b2656', 'flight': 4, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb250'],5e9e4502f509094188566f88,4,True,False,,,,Falcon 9,0
Starlink-3,2020-01-29T14:06:00.000Z,True,"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb251'],5e9e4501f509094ba4566f84,3,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Starlink-4,2020-02-17T15:05:55.000Z,True,"[{'core': '5e9e28a7f3591809313b2660', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb252'],5e9e4501f509094ba4566f84,4,True,True,False,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,0
CRS-20,2020-03-07T04:50:31.000Z,True,"[{'core': '5e9e28a7f359187afd3b2662', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb253'],5e9e4501f509094ba4566f84,2,True,True,True,RTLS,5e9e3032383ecb267a34e7c7,Falcon 9,1
Starlink-5,2020-03-18T12:16:00.000Z,True,"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 5, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d0b6c3bb0006eeb254'],5e9e4502f509094188566f88,5,True,True,False,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,0
Starlink-6,2020-04-22T19:30:00.000Z,True,"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb255'],5e9e4502f509094188566f88,4,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,True,"[{'core': '5e9e28a7f3591817f23b2663', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb257'],5e9e4502f509094188566f88,1,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
Starlink-7,2020-06-04T01:25:00.000Z,True,"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 5, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb256'],5e9e4501f509094ba4566f84,5,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,Falcon 9,1
Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,True,"[{'core': '5e9e28a7f359187afd3b2662', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d1b6c3bb0006eeb258'],5e9e4501f509094ba4566f84,3,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,True,"[{'core': '5ef670f10059c33cee4a826c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25c'],5e9e4501f509094ba4566f84,1,False,True,True,ASDS,5e9e3033383ecbb9e534e7cc,Falcon 9,1
ANASIS-II,2020-07-20T21:30:00.000Z,True,"[{'core': '5e9e28a7f3591817f23b2663', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb25b'],5e9e4501f509094ba4566f84,2,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,Falcon 9,1
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,True,"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 5, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",5e9d0d95eda69973a809d1ec,"['5ed9858b1f30554030d45c3e', '5ee522e32f1f3d474c758123']",5e9e4502f509094188566f88,5,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,Falcon 9,1
